Tweets,created,Tweet Count,Retweets,Day,Date,,,,,,,,,,
"RT @Ajibola12345_: @mrmacaronii  If it's food to eat, cloth to wear, house to live in you have everything, yet you want a better future for…",3/25/2021 2:19:27 PM,1168,TRUE,25,3/25/2021,,,,,,,,,,
"RT @FredrickOguns1: I am still perplexed @HQNigerianArmy told bandits, boko, terrorists and gunmen, they are coming after them. To #ESN, @S…",3/25/2021 2:19:24 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
"RT @MrChux2: @CharlesYoila @AHMADUDAHIRU2 @ShehuSani @Abdul_Ahmad_ Could there be a ""wrong"" reason for this sort of agitation? In some clim…",3/25/2021 2:18:54 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
RT @newnationalstar: #ENDSARS: Gbajabiamila Calls For Police Reforms https://t.co/wqvtzfRQBQ,3/25/2021 2:18:38 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
RT @owoniyilb: @PoliceNG_CRU I do appreciate d @PoliceNG CP 4 taking an action bt d DPO has not displayed any managerial &amp; leadership skill…,3/25/2021 2:18:23 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
@PoliceNG_CRU I do appreciate d @PoliceNG CP 4 taking an action bt d DPO has not displayed any managerial &amp; leaders… https://t.co/A6UuyHYITN,3/25/2021 2:18:18 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
#ENDSARS: Gbajabiamila Calls For Police Reforms https://t.co/wqvtzfRQBQ,3/25/2021 2:18:05 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"@CharlesYoila @AHMADUDAHIRU2 @ShehuSani @Abdul_Ahmad_ Could there be a ""wrong"" reason for this sort of agitation? I… https://t.co/cl4Kdvh4ow",3/25/2021 2:17:52 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"I am still perplexed @HQNigerianArmy told bandits, boko, terrorists and gunmen, they are coming after them. To #ESN… https://t.co/fEDzggzdRO",3/25/2021 2:16:27 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"Hey!!! Whenever you see me lying down on my back, always beware <U+0001F633><U+0001F633><U+0001F633><U+0001F633> #mazinnamdikanu #EndNigeriaNow #EndSARS #freebiafranow",3/25/2021 2:16:22 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"RT @RevolutionNowNg: He's currently in the hospital severely injured &amp; all @PoliceNG have to do is redeploy without any demotion, no fine o…",3/25/2021 2:15:25 PM,16,TRUE,25,3/25/2021,,,,,,,,,,
RT @RevolutionNowNg: #EndSARS: Lagos @PoliceNG Commissioner Transfer Onipanu DPO To Headquarters Despite Brutalization of Activist @TUNDEAb…,3/25/2021 2:13:57 PM,8,TRUE,25,3/25/2021,,,,,,,,,,
RT @Gidi_Traffic: “@Austynzogs: GIRLS POWER:  22-year old #EndSARS activist @SavvyRinu recently “met and discussed with two powerful women…,3/25/2021 2:11:46 PM,11,TRUE,25,3/25/2021,,,,,,,,,,
"#endsars 
Sars in Port Harcourt again oo
Searching boys phones at chinda /ada-george precisely
#endEcrack",3/25/2021 2:10:33 PM,2,FALSE,25,3/25/2021,,,,,,,,,,
#EndSARS #EndEcrack port harcourt is not safe <U+0001F630>,3/25/2021 2:10:00 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"Africa by Mode Nine, Tuface #EndSARS https://t.co/GqgWlXyN6U",3/25/2021 2:09:58 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @NdidiUwechue: Oduduwa Republic is simply coming along... <U+0001F60E>
Unionist-hoaxers must be shaking and crying!
#End1999Constitution #PartiesCl…",3/25/2021 2:09:50 PM,3,TRUE,25,3/25/2021,,,,,,,,,,
"RT @BlendForward: 154 days since the Lekki Massacre <U+0001F494>
You’re more than the oppressors. Free Yourself!
#EndSARS #EndPoliceBrutalityinNigeria…",3/25/2021 2:09:21 PM,28,TRUE,25,3/25/2021,,,,,,,,,,
#EndSARS: We must weed out bad eggs in Nigeria police –Gbajabiamila https://t.co/DzuEKQWkte,3/25/2021 2:08:15 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
#EndSARS: We must get rid of the bad eggs in Nigeria police –Gbajabiamila https://t.co/ybtKjV5Pck,3/25/2021 2:08:09 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
This morning on my way to work I was held by 2 @PoliceNG officers for searching while having nothing incriminating.… https://t.co/BGxTMdCXsh,3/25/2021 2:07:49 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
#EndSARS: We Must Fish Out Bad Eggs In Nigeria Police – Gbajabiamila https://t.co/ag8rfgHeHn,3/25/2021 2:07:42 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @Ad3ola_: #EndSars remains the biggest effort of young Nigerians to bringing justice, peace and progress to Nigeria.",3/25/2021 2:07:37 PM,5,TRUE,25,3/25/2021,,,,,,,,,,
#EndSARS: We Must Weed out Bad Eggs in Nigeria police –Gbajabiamila - https://t.co/srIbcA2mao https://t.co/uGPSxtPrde,3/25/2021 2:07:15 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
RT @EiENigeria: We are LIVE on @bronzefmbenin with Akhigbe Emmanuel discussing updates from the #EndSARS judicial panel of inquiry. Tune in…,3/25/2021 2:07:02 PM,4,TRUE,25,3/25/2021,,,,,,,,,,
Lyrics Video: Worth – Anthony Brown  &amp; group therAPy https://t.co/0HHKB5Lo90 via @Delitecallybh.com <U+261D><U+0001F3FD><U+261D><U+0001F3FD><U+261D><U+0001F3FD><U+261D><U+0001F3FD><U+0001F44D><U+0001F64C><U+2764><U+0001F483>pow… https://t.co/CVS95SIeo3,3/25/2021 2:06:47 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
#EndSARS is over. @PoliceNG     should open the roads in front of Island club and Louis Edet House in Obalende Lago… https://t.co/XMMOn19oks,3/25/2021 2:06:45 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"#EndSARS: Nigerians Rain Curses On Policeman That Killed Jimoh Isiaq During A Peaceful Protest(Photo) ...

Follow… https://t.co/jTKLDS85to",3/25/2021 2:05:50 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
The sitting to hear the petition of Lance Cpl Adeborijo has begun.The case was adjourned yesterday to enable the pe… https://t.co/5slckGzxhy,3/25/2021 2:04:53 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @Koolthorpe: @Prince_Savo @trolls_queen If anything, the rogue police officers haven't learnt anything from the #endsars protest.",3/25/2021 2:01:25 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
RT @StartupEbonyi: Why I Stopped Being A Jehovah’s Witness After 19 Years - Read More: https://t.co/d0tSBBtMGg #EndSARS #EndSARSBrutality,3/25/2021 2:01:07 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
"RT @FreedomFromNgr: RETWEET WORTHY

JOIN NINAS &amp; SUPPORT FREEDOM
Action NOW!
https://t.co/RzKzMl7vc3

https://t.co/O4wNXDkeSs SIGN

#End199…",3/25/2021 2:00:41 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
"RT @O_Okee: Man, I've never felt this oppressed in my life. I really thought we had a good shot this one time. #EndSARS",3/25/2021 1:57:26 PM,9018,TRUE,25,3/25/2021,,,,,,,,,,
Why I Stopped Being A Jehovah’s Witness After 19 Years - Read More: https://t.co/d0tSBBtMGg #EndSARS #EndSARSBrutality,3/25/2021 1:57:20 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"@Prince_Savo @trolls_queen If anything, the rogue police officers haven't learnt anything from the #endsars protest.",3/25/2021 1:55:18 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"Everything used to be okay until we started having 'angel of my life' n forgot we have a 'Guardian Angel'
#EndSARS",3/25/2021 1:54:18 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @obanyanwu: Ooooomo what an act of stealing  this lady is a professional thief...just watch this video

#IPOB #BBNaija #EndSARS E DON SP…",3/25/2021 1:52:29 PM,13,TRUE,25,3/25/2021,,,,,,,,,,
"RT @Isiomah2: Nature is the art of God<U+0001F33C><U+0001F338><U+0001F341><U+0001F33F><U+0001F334>

Please retweet<U+0001F64F><U+0001F49A>
#EndAsuuStrikeNow  #EndSARS #LayconIsVerified https://t.co/wYuCfyb7yn",3/25/2021 1:51:48 PM,15,TRUE,25,3/25/2021,,,,,,,,,,
I have met amazing people on twitter many of which I haven't seen with my naked eyes. Some I saw briefly during… https://t.co/VQIWXzzwRZ,3/25/2021 1:51:06 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
#EndSARS: We must weed out bad eggs in Nigeria police –Gbajabiamila https://t.co/FEDYz8cv0O,3/25/2021 1:50:44 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
RT @WavesMediaNG: #EndSARS: We must weed out bad eggs in Nigeria police –Gbajabiamila https://t.co/kt2gxEIEEY,3/25/2021 1:49:31 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
RT @PrinceAdebanjoO: AWOLOWO PREDICTED #EndSARS,3/25/2021 1:49:24 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
"RT @Lucasscot_101: Seeing this clip now, NBC is probably planning on placing a ban on all Ghanaian movies till further notice.

Lai go tell…",3/25/2021 1:49:22 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
RT @ema5131: We need this seriously in Nigeria maybe we can add #EndSARS https://t.co/szAfSutTkW,3/25/2021 1:49:14 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
"RT @Habskii: Greetings and salutations have a blessed week i know im late asf lmfaaaaoooo #endsars #congoisbleeding #BlackLivesMatter  
<U+0001F64F><U+0001F3FF>…",3/25/2021 1:49:04 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
#EndSARS: We must weed out bad eggs in Nigeria police –Gbajabiamila https://t.co/kt2gxEIEEY,3/25/2021 1:48:59 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
@BashirAhmaad When you are out of the table you are eating now...we will see ..sowore said #RevolutionNow he is bei… https://t.co/pUhcdm4ubt,3/25/2021 1:47:26 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
RT @Arise_NigerianY: Breaking: Tinubu has started begging around for endorsement over 2023. Dear Young Nigerians we will never forget what…,3/25/2021 1:47:02 PM,165,TRUE,25,3/25/2021,,,,,,,,,,
"RT @fredgreat70: Dear @jidesanwoolu ,

Who ordered the shooting of #EndSARS protesters at Lekki toll gate on 20/10/2020?

We will not forge…",3/25/2021 1:46:06 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
AWOLOWO PREDICTED #EndSARS,3/25/2021 1:44:46 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"RT @cchukudebelu: #EndSARS, was in a way, a ""cause celebre"". There have been numerous human rights violations in Nigeria - like systematic…",3/25/2021 1:44:27 PM,46,TRUE,25,3/25/2021,,,,,,,,,,
RT @popcornandreels: HBO’s The Last of Us series will adapt dialogue from original game while deviating greatly in story for some episodes…,3/25/2021 1:43:38 PM,9,TRUE,25,3/25/2021,,,,,,,,,,
"Seeing this clip now, NBC is probably planning on placing a ban on all Ghanaian movies till further notice.

Lai go… https://t.co/4CFXH3KUuF",3/25/2021 1:41:56 PM,2,FALSE,25,3/25/2021,,,,,,,,,,
We need this seriously in Nigeria maybe we can add #EndSARS https://t.co/szAfSutTkW,3/25/2021 1:40:15 PM,2,FALSE,25,3/25/2021,,,,,,,,,,
#EndSARS: Lagos @PoliceNG Commissioner Transfer Onipanu DPO To Headquarters Despite Brutalization of Activist… https://t.co/1emyBVHkYC,3/25/2021 1:39:49 PM,8,FALSE,25,3/25/2021,,,,,,,,,,
RT @TUNDEAbass10: Thank to everyone for your solidarity support during my time of detentions until my release I appreciate all your concern…,3/25/2021 1:38:54 PM,919,TRUE,25,3/25/2021,,,,,,,,,,
"Greetings and salutations have a blessed week i know im late asf lmfaaaaoooo #endsars #congoisbleeding #BlackLivesMatter  
<U+0001F64F><U+0001F3FF><U+0001F64F><U+0001F3FF><U+0001F525><U+0001F525><U+0001F525><U+0001F525><U+0001F4AA><U+0001F3FF><U+0001F915><U+0001F923>",3/25/2021 1:36:55 PM,2,FALSE,25,3/25/2021,,,,,,,,,,
"RT @ChigozieJames11: Genesis 9:6 
“Whoever sheds the blood of man, by man shall his blood be shed, for God made man in his own image.

Beca…",3/25/2021 1:35:36 PM,102,TRUE,25,3/25/2021,,,,,,,,,,
“@Austynzogs: GIRLS POWER:  22-year old #EndSARS activist @SavvyRinu recently “met and discussed with two powerful… https://t.co/OxsX2sBkng,3/25/2021 1:35:08 PM,11,FALSE,25,3/25/2021,,,,,,,,,,
"Apparently, the Panel changed location and is finally hearing the petition of Lance Cpl Adeborijo Adebayo Samuel ag… https://t.co/zOZGpFd6Df",3/25/2021 1:35:03 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @Belshagy: Had #EndSARS warriors read about the oloko trio led women protest in the south during colonial times, they would have learnt…",3/25/2021 1:33:42 PM,6,TRUE,25,3/25/2021,,,,,,,,,,
"RT @Awesomebriel: This #ENDSARS survey is not government sponsored, this is for academic purpose. No form of identification is included in…",3/25/2021 1:33:15 PM,189,TRUE,25,3/25/2021,,,,,,,,,,
"Omo! This movie said it all.

Nigerian Govt this is exactly YOU! ALL OF YOU.
 #EndSARS https://t.co/tCI5gFvo3p",3/25/2021 1:32:05 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @Osegun_MG: #EndSARS 
A bad system like a bad leader does not appear bad to those who benefit from it.

They do everything to defend it…",3/25/2021 1:30:07 PM,5,TRUE,25,3/25/2021,,,,,,,,,,
"To make it in a country like @Nigeria, you have to be STREETLY EDUCATED.

#Nigeria 
#Burnaboy 
#Wizkid 
#EndSARS",3/25/2021 1:29:08 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
RT @Proficience_: The reasons for #EndSars is now much more prevalent than it was! Citizens are arrested &amp; charged to court without committ…,3/25/2021 1:27:00 PM,281,TRUE,25,3/25/2021,,,,,,,,,,
@officialEFCC ...these are some of the #EndSARS guys so EFCC be careful you will soon here #EndEFCC if you go too extreme...,3/25/2021 1:26:33 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @SomtoSocial: Thank you @RuggedyBaba, @segalink, @simplyEromz, @SavvyRinu for the quick eye. 

Please let’s keep our ears and eyes at al…",3/25/2021 1:26:18 PM,457,TRUE,25,3/25/2021,,,,,,,,,,
RT @CYRILAGU3: Stay Focus!! #WorldTBDay #Africa #EndSARS <U+270C><U+FE0F> https://t.co/ImsjdArHUK,3/25/2021 1:25:41 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
RT @oluwa_toomisin: Throwback Thursday <U+0001F4AF>#EndSARS https://t.co/Zjte1ugWdu,3/25/2021 1:25:28 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
RT @Offical_dp: @SaharaReporters Dear #nigerians never you fall victim of @SokoLoan this company or whatever the call themselves are fraudu…,3/25/2021 1:21:43 PM,3,TRUE,25,3/25/2021,,,,,,,,,,
"He's currently in the hospital severely injured &amp; all @PoliceNG have to do is redeploy without any demotion, no fin… https://t.co/7uki6WxToM",3/25/2021 1:21:41 PM,16,FALSE,25,3/25/2021,,,,,,,,,,
"Oduduwa Republic is simply coming along... <U+0001F60E>
Unionist-hoaxers must be shaking and crying!
#End1999Constitution… https://t.co/7LjMrhlw0b",3/25/2021 1:20:00 PM,3,FALSE,25,3/25/2021,,,,,,,,,,
Throwback Thursday <U+0001F4AF>#EndSARS https://t.co/Zjte1ugWdu,3/25/2021 1:19:55 PM,2,FALSE,25,3/25/2021,,,,,,,,,,
Stay Focus!! #WorldTBDay #Africa #EndSARS <U+270C><U+FE0F> https://t.co/ImsjdArHUK,3/25/2021 1:18:06 PM,2,FALSE,25,3/25/2021,,,,,,,,,,
"FFK Kicks, Reveals What Will Keep The Country As ""One Nigeria"", Read What He Said That Got Reactions
#Endsars… https://t.co/SV0KVqYPuA",3/25/2021 1:17:35 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
@Letter_to_Jack #EndSARS was your last hope but it died. What else will save your from being killed or raped by ter… https://t.co/8Yb7wOeiv0,3/25/2021 1:16:41 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"RT @popcornandreels: Agent 47 will have a “full head of hair” in the Hitman TV series adaptation, says writer Derek Kolstad
-
Catch More on…",3/25/2021 1:16:34 PM,5,TRUE,25,3/25/2021,,,,,,,,,,
Twitter NG should nornmalize typing IFB or KFB under tweets of Politically Exposed Persons who were vocal #Endsars… https://t.co/gOacmB1MJ8,3/25/2021 1:15:25 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
@9r3yy No be juju be that <U+0001F602><U+0001F923> #EndSARS,3/25/2021 1:12:00 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @S0NG1T0: Man been living rough life... I pray I survive the street <U+0001F64F><U+0001F3FD>
#EndSars #Mmemberville",3/25/2021 1:10:11 PM,5,TRUE,25,3/25/2021,,,,,,,,,,
"RT @HRH_bankeoniru: SOLDIERS COMB ONITSHA FOR CRIMINALS

Me: The One In Sambisa And Core North They Are Yet To Fish But They Can Flex Muscl…",3/25/2021 1:09:25 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
"RT @2muchAkanni: Cost you nothing to RT this!

 #EndSARS
#Lekkitollgate 
#EndBadGovernanceInNigeria https://t.co/wacmumElVe",3/25/2021 1:07:36 PM,3908,TRUE,25,3/25/2021,,,,,,,,,,
"RT @OyoSarsPanel: Petition 5 is OYJPPB/045. The petition is between Mr Daodu Ayoniyi Edward and The Nigeria Police, Iyaganku. The petitione…",3/25/2021 1:07:19 PM,3,TRUE,25,3/25/2021,,,,,,,,,,
"RT @OyoSarsPanel: Petition 8 is OYJPPB/069. The petition is between Mr Kolawole Owoade and Nigeria Police Force, Defunct SARS, Ogbomoso Com…",3/25/2021 1:07:05 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
"RT @OyoSarsPanel: The 7th petition is OYJPPB/015. The petition is between Kamaldeen Hassan and The Area Commander, Nigeria Police Ogbomoso.…",3/25/2021 1:06:52 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
"RT @afroromantics: @MuhammedTijjan7 @Abdulrahmanleme @OvieNews #EndSARS 
They are destroying livelihoods.
It's madness.   The south has to…",3/25/2021 1:06:39 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
RT @OyoSarsPanel: The 6th petition is OYJPPB/095. The petition is between Mr Ajekigbe Sunday and Unknown Protesters. The petitioner was pre…,3/25/2021 1:06:25 PM,3,TRUE,25,3/25/2021,,,,,,,,,,
RT @temithorpe5: @ceracerni @Itunuu_u Don't forget to Paint the #EndSARS logo,3/25/2021 1:06:08 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
RT @Spotweefy: Hunger Cries by Show Dem Camp #EndSARS https://t.co/lVtx3C81EN,3/25/2021 1:05:53 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
"RT @OlatejuYF: @JuliusBegger is Missing. 
PLEASE RETWEET till he’s found. <U+0001F62D><U+0001F64F><U+0001F494>
.
#FreeJuliusBegger #EndSARS #EndPoliceBrutality https://t.co…",3/25/2021 1:04:53 PM,231,TRUE,25,3/25/2021,,,,,,,,,,
Hunger Cries by Show Dem Camp #EndSARS https://t.co/lVtx3C81EN,3/25/2021 1:04:39 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
@ceracerni @Itunuu_u Don't forget to Paint the #EndSARS logo,3/25/2021 1:04:30 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"#EndSARS: We must weed out bad eggs in Nigeria police –Gbajabiamila https://t.co/daAoxko0AI 

@MobilePunch… https://t.co/nUUaP4DXV6",3/25/2021 1:04:16 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"@MuhammedTijjan7 @Abdulrahmanleme @OvieNews #EndSARS 
They are destroying livelihoods.
It's madness.   The south ha… https://t.co/OHkRYLqlt2",3/25/2021 1:03:25 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"RT @_Nawty_P: Hello sir/ma 
Lovelies

My first single #EndSARS is out now on all platforms.
Pls go play it.
Favourite/ like it and drop a c…",3/25/2021 1:02:32 PM,93,TRUE,25,3/25/2021,,,,,,,,,,
"RT @BelieveGod_1: @segalink @Prince_Muyen Sir, the #EndSars movement had no effect in Akwaibom state. All the groups are still in operation…",3/25/2021 1:00:27 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
Wicked People You Off the Lights Off billboards Light Use milotary Begin shoot innocent Citizens you suppose Protec… https://t.co/RTUd9Rau6T,3/25/2021 12:59:15 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"@KadunaMarkets @elrufai @idris_nyam @HafizBayero #EndSARS 
@elrufai
This is Kaduna.  Don't let the photoshopped vid… https://t.co/8gKuIyS4Uy",3/25/2021 12:58:55 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"Hey check  out this @wizkidayo #ojuelegba cover by me #tynitonzie https://t.co/xpUX2DUpPC
#followback #ICanWithAbsa… https://t.co/l5QbMZTSWV",3/25/2021 12:58:20 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
@RonchessGlobal @elrufai @KDMoPWI @KADRA_kdsg @KadunaRenewal @Dattijo @MLmagaji_Engr @jacksonstepth @DepGovKaduna… https://t.co/rp562X7tyO,3/25/2021 12:58:16 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
#EndSARS: We must weed out bad eggs in Nigeria police –Gbajabiamila https://t.co/E5cY8qxVWb,3/25/2021 12:58:08 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
#EndSARS: We must weed out bad eggs in Nigeria police –Gbajabiamila https://t.co/xzN3BoWvxs,3/25/2021 12:58:02 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
@RonchessGlobal @elrufai @DepGovKaduna @KadunaRenewal @MLmagaji_Engr @jacksonstepth @Dattijo @aminaladan… https://t.co/jaOdJTD9Ju,3/25/2021 12:58:00 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"@RonchessGlobal @elrufai #EndSARS 
@elrufai
This is Kaduna.  Don't let the photoshopped videos pictures deceive you
https://t.co/tm0yUBL5or",3/25/2021 12:57:31 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
QUIZ: Which Bank App Feature Will Save Your Life? - Read More: https://t.co/QJ4Z4gXdGw #EndSARS #EndSARSBrutality,3/25/2021 12:57:04 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
7 Simple Ways To Make Your Neighbour’s Generator Stop Working - Read More: https://t.co/WA7Ccdusa2 #EndSARS #EndSARSBrutality,3/25/2021 12:57:03 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
Unionist-hoaxers are frightened by those who pursue their self-determination in their ancestral lands!!!… https://t.co/i34cqjwYR8,3/25/2021 12:57:00 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"Universities in South Korea will soon start accepting graduates and  undergraduates applications, get your TOEFL or… https://t.co/s6kRxhHPTW",3/25/2021 12:56:54 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"@RonchessGlobal @elrufai #EndSARS 
@elrufai
This is Kaduna.  Don't let the photoshopped video and pictures deceive… https://t.co/7E9fV0yof0",3/25/2021 12:56:23 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
"RT @MatthewTPage: This looks like an interesting session, but I hope participants press the minister on *accountability* in the wake of #En…",3/25/2021 12:56:08 PM,3,TRUE,25,3/25/2021,,,,,,,,,,
@kingdomreward @RonchessGlobal @elrufai @DepGovKaduna @Dattijo @KADRA_kdsg @MLmagaji_Engr @jacksonstepth… https://t.co/7BK23dy2vO,3/25/2021 12:55:30 PM,0,FALSE,25,3/25/2021,,,,,,,,,,
@RonchessGlobal @elrufai @DepGovKaduna @Dattijo @KADRA_kdsg @MLmagaji_Engr @jacksonstepth @samsondavies @KDMoPWI… https://t.co/tK3l8hvgMD,3/25/2021 12:54:57 PM,1,FALSE,25,3/25/2021,,,,,,,,,,
"RT @winwitheleazar: I'm in the business of building business in the network marketing industry.

DM me to know how you can earn from buildi…",3/25/2021 12:50:08 PM,2,TRUE,25,3/25/2021,,,,,,,,,,
"RT @FARFeminists: Buky Williams of @EVA_Nigeria: ""When #EndSARS came about, those of us who had been mobilized around [women’s issues and p…",3/25/2021 12:49:23 PM,3,TRUE,25,3/25/2021,,,,,,,,,,
"RT @todunlami: Very interesting indeed. Woow, this is unbecoming of a nation that once pride herself of excellence.

These are criminals. T…",3/25/2021 12:49:17 PM,1,TRUE,25,3/25/2021,,,,,,,,,,
